歌曲名,时长,作者,专辑
Flowers (feat. Nori),4:12,In Love With A Ghost,Let's Go
Counter Attack-Mankind (Sasha Version) (Cover),4:58,Samuel Kim,Attack on Titan: Final Season Tribute (Cover)
Happiest Year,3:48,Jaymes Young,Happiest Year
Healing Song (Acoustic),3:26,Lune,Healing Song (Acoustic)
I don't see nobody but you,4:24,Yusei,I don't see nobody but you
Keep Your Head Up Princess,3:18,Anson Seabra,Keep Your Head Up Princess
Lorraine,1:53,Big Thief,Masterpiece
i can't,2:33,pink glass,i can't
we fell in love in october,3:4,girl in red,we fell in love in october / forget her
Sunflower Feelings,1:28,Kuzu Mellow,Sunflower Feelings
There Is Nothing Holding Me Back (Novalight Remix),3:52,Novalight,There Is Nothing Holding Me Back (Novalight Remix)
匿名的好友,3:16,小包Zerinn,千禧·改
Trophies,3:8,Drake,Trophies
Chicago Freestyle,3:40,Drake,Dark Lane Demo Tapes
不露声色,5:5,Jam,不露声色
02 苏州河（prod. by 三册柏）,4:15,三册柏,世纪开心馆
非白,3:43,Quinn葵因,理想
Silver City,3:52,MYRNE,Silver City / Release Me
sex money feelings die,2:19,Lykke Li,so sad so sexy
父亲写的散文诗 (Live),3:49,许飞,流淌的歌声 第五期
Second Date,2:27,Josh Fudge,Second Date
"Me, Myself & I",4:11,G-Eazy,When It's Dark Out (Deluxe Edition)
love.,2:57,Theysay.,love.
现 在 的 你,2:56,21st Century Schizoid Man,现 在 的 你
Forevermore,2:22,Katie Herzig,Live In Studio: Acoustic Trio
Everyday Normal Guy 2,3:15,Jon lajoie,You Want Some of This?
Perfect,4:17,Boyce Avenue,"Cover Sessions, Vol. 4"
鱼仔,4:45,郁欢,郁欢的翻唱噜
Go  **** Yourself,2:9,Two Feet,First Steps
The Other Side Of Paradise,5:20,Glass Animals,New Era Rock
idontwannabeyouanymore (cover),3:17,Lewis Blissett,
泸沽湖,4:6,麻园诗人,不爱说话的人
若是明仔载,3:45,曹雅雯,自本
Seabirds,4:58,Pizzagirl,Seabirds
Intro (feat. Rook1e),1:25,barnes blvd.,Last Summer
eternal moment,3:10,yutaka hirasaka,breath
Patience,1:45,TRA$H,AWAKE Vol. 2
Leave me along,2:51,Die-OverXYC,Leave me along
How to Carry On,3:22,Wildflowers,I Won't Waste This
Ephemeral Memories（Without Drum),3:45,MoreanP,Ephemeral Memories
Enamel,2:50,Luca Rain,Enamel
Starry Sky,2:34,Pam_dinosaur,Starry Sky
Temple,4:55,Zerky,Temple
假装,2:49,闭文思,假装（翻自 陈雪凝）
date with the stars,2:0,emka,date with the stars
20,3:24,朱彦安,20
自我乍现,4:4,Quinn葵因,微观叙事
美好的事可不可以发生在我身上,6:2,康士坦的变化球,更迭
死在人海,1:17,雾江月,死在人海
浴室,4:19,deca joins,浴室
Producer Man,2:21,Lyn Lapid,Producer Man
Lost,2:1,Shiloh Dynasty,Who Are You?
Without Me,4:50,Eminem,The Singles (Eminem album)
Kingdom Hearts • Xion's Theme,2:26,Jenny,Kingdom Hearts • Xion's Theme
漠河舞厅,5:34,柳爽,1st.星球
Mystery of Love,4:8,Sufjan Stevens,Call Me By Your Name (Original Motion Picture Soundtrack)
不说 (原来是不说),3:38,周公,不说
"i'm tired, i'm exhausted",2:22,hateful,"i'm tired, i'm exhausted"
Exile,4:25,Josh Rabenold,Exile
midnight love,3:13,girl in red,midnight love
Comfort Chain,3:4,instupendo,Comfort Chain
A Thousand Years,4:45,Christina Perri,The Twilight Saga Forever Love Songs
You Are Beautiful,3:33,James Blunt,BIGGER
La La Lost You (Acoustic Version),3:28,88rising,NIKI Acoustic Sessions: Head In The Clouds II
I hate you.,2:21,HAUS,I hate you.
Alica,3:42,Norhye,The Reload
Homage,2:57,Mild High Club,Skiptracing
美梦,4:20,周公,美梦
RIP,1:56,Croosh,RIP
畅所欲言（demo）,2:50,刘佳奇,畅所欲言（demo）
Time to Pretend,5:14,Lazer Boomerang,Time to Pretend
I Need U,3:6,Smyang Piano,"Music Box Collection, Vol. 1"
Feel The Fire (Bronze Whale Remix),4:37,Bronze Whale,Feel The Fire (Bronze Whale Remix)
三浦透子-グランドエスケープ（TSAR remix）,3:40,TSAR,天気の子
Tidal Wave,3:8,BlueLee,海 浪
❀,2:15,nevva,❀
and my life turned around,1:30,olli,and my life turned around
10%,1:2,SynBlazer,之前的一些demo
Up Up and Away,3:17,xxxtention,Up Up and Away
Glass Animals-The Other Side Of Paradise(Remix),3:45,05L.,MAX
Edge of My Life,3:33,Manafest,Edge of My Life
kaneki jackson,3:56,nohpets,
Kiss Me More,3:28,Doja Cat,Kiss Me More
Mask Off Aesthetic(铃铛版),2:9,iozioz,晓
Mask Off Aesthetic,2:19,trapwithwest,Mask Off Aesthetic
Lay It Down,3:8,steelix,Lay It Down
MEMORIES!,2:17,347aidan,TROUBLED MEMORIES!
My Favorite Song,3:8,Skyler Stonestreet,You.
lovely,3:20,Billie Eilish,Clean Pop Hits
Light That Fire,2:19,Oh The Larceny,Oh the Larceny
Anything Goes!,3:31,大黒摩季,Anything Goes!
永世のクレイドル,4:32,鈴華ゆう子,CRADLE OF ETERNITY
SOS,2:37,Avicii,Tropical Summer
Basim-Stjæler Mit Hjerte（纯音乐）（超人战士 remix）,3:48,超人战士,纯音乐
Lightning Moment（piano version）,1:43,Qperkz,piano version
Beggin',3:31,Måneskin,Chosen
STAY,2:21,The Kid LAROI,STAY
姐姐,4:2,贾盛强,热门华语267
Lover (Remix),3:41,Taylor Swift,Lover (Remix)
Merry Christmas Mr. Lawrence(钢琴+小提琴),1:18,浅绯色的喵,不完整的旋律
Everybody Dies In Their Nightmares,1:35,XXXTENTACION,17
My Ex Bitch Hates Me,2:59,Juice WRLD,My Ex ***** Hates Me
Heather X Eyes Blue (Lofi Version),3:0,Cosmic Sky,Heather X Eyes Blue (Lofi Version)
I Wish,3:34,Tom MacDonald,I Wish
Somebody That I Used To Know,4:5,Gotye,Making Mirrors
Kiss Fight (feat. gnash),2:58,Tülpa,Kiss Fight (feat. gnash)
&burn,2:59,Billie Eilish,&burn
形容,3:45,沈以诚,初遇
Fall,3:25,D!avolo,Fall
山海remix,2:17,鹿头LuTo,所爱隔山海
甜不辣,1:6,陈阳,阳阳的弹唱第六弹
姑娘,2:38,隔壁老樊,你是姑娘不是我的新娘
我爱你 Luv Is Luv,3:21,贺仙人,我爱你
总在四下无人的夜晚想起你（翻自 无孟子）,0:23,耳朵玥,叹气会让幸福溜走的
Moshi Moshi,3:41,Poppy,Poppy.Computer
Stitches,3:19,Sam Tsui,Sam Tsui Covers Vol.3
樱花草 (翻自 sweety),3:51,苏白睡醒啦,樱花草
春风十里,6:15,鹿先森乐队,所有的酒，都不如你
理想三旬,3:30,陈鸿宇,浓烟下的诗歌电台
第三人称（Cover HusH!）,0:15,王贰浪,王贰浪翻唱锦集
⛲️,1:53,ZzHhOoUuZzHhAaNnGgYu,ZzHhOoUuZzHhAaNnGgYu
Meant To Be,3:28,Arc North,Meant To Be
I Knew You Were Trouble,3:52,MADILYN,"The Covers, Vol. 4"
Planez (Neon Tribe Remix),3:29,Neon Tribe,Planez (Neon Tribe Remix)
Vexento-trippy love +najia bootleg（冷筱宇 remix）,3:32,乔文,Trippy Love（Remix）
despair,3:58,LookedatHerFore,April
Samurai,5:35,DEAF KEV,Samurai
苦中作乐<音量大版>,2:48,石白其,苦中作乐-初始版
后来的我们（翻自 五月天）,0:57,二嘉,后来的我们（cover五月天）
GRRRLS,3:48,AViVA,GRRRLS
The Nights,2:56,Avicii,The Days / Nights (Remixes /EP)
Kill Em With Kindness,3:37,Selena Gomez,Revival (Deluxe Edition)
Dancin (Krono Remix),3:17,Aaron Smith,DANCIN (KRONO REMIX)
Shots (Broiler Remix),3:11,Imagine Dragons,Shots (Broiler Remix)
Post Malone-Better Now 3（發條 remix）,3:21,發條,Better Now Than 1980s
bad guy,3:14,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
宾克斯的美酒,7:6,V.A.,最新热歌慢摇19
Re:make,3:23,ONE OK ROCK,Re:make / NO SCARED
Airplane Mode (Instrumental),2:44,limbo,Airplane Mode
It Won't Kill Ya,3:37,The Chainsmokers,Memories...Do Not Open
Drag Me Down,3:12,One Direction,Drag Me Down
Cure,3:38,Carla,Cure
Space,2:48,Famba,Space
Counting Sheep,2:53,SAFIA,Counting Sheep
GQ,2:42,Lola Coca,GQ
Clear (Shawn Wasabi Remix),2:55,Shawn Wasabi,Clear (Shawn Wasabi Remix)
I don't wanna see u anymore,2:33,NINEONE#乃万,I don't wanna see u anymore
I Will Be OK,2:41,FlyBoy,I Will Be OK
River,3:36,Bishop Briggs,River
Lifted,3:14,Allie X,CollXtion II
Lupins,3:43,AniFace,Lupins
Miss U the 715th time,2:49,AniFace,三音成曲
梦境中的背影,1:59,余日秋山,梦境中的背影
17:40,3:39,AniFace,慵懒的课后时光
NEXT TO YOU,3:45,Ken Arai,寄生獣 セイの格率 オリジナル・サウンドトラック
勿念他归,5:56,V.A.,最新热歌慢摇19
Break Again (Original Mix),6:0,Jack Howes,Break Again
Floating [Original Mix(Krewella's Alive Vocal)],4:34,Tobu,最新热歌慢摇81
Bloom of Youth,2:28,清水淳一,クドわふたー オリジナル サウンドトラック
Regrets (Too Late),5:42,Zeraphym 六翼使徒,Regrets (Too Late)
봄의 태양,3:38,July,봄의 태양
我的回忆不是我的,3:52,海鸣威,我的回忆不是我的
月半小夜曲,4:50,李克勤,经典金曲
葡萄成熟时,4:39,陈奕迅,U87
遥远的她,4:17,张学友,遥远的她·Amour
处处吻,3:19,杨千嬅,Simply Me
一格格,4:8,卫兰,一格格
喜帖街,3:31,谢安琪,Binary
午夜怨曲,4:32,Beyond,真情實感II
只想一生跟你走,5:13,张学友,一生跟你走 年度代表作品辑
最佳损友,3:53,陈奕迅,Life Continues…
富士山下,4:18,陈奕迅,What's Going On…?
岚(Original Mix),3:48,Moderian,Somnambulist EP
Pipa （琵琶）,3:26,LJY,Pipa （琵琶）
Withered,3:40,Mr Chip,Withered
Luv Letter,4:28,DJ Okawari,Libyus Music Sound History 2004－2010
바람에 쓰는 편지,4:3,July,Happiness
Beyond The Memory,3:50,July,Beyond The Memory
Somewhere,3:49,July,Somewhere
Galway Girl,2:50,MADILYN,Galway Girl
Look4You,2:52,Alberto Ciccarini,Look4You
My Soul,3:50,July,Time...
武侯祠,5:34,闫东炜,天朝元素project
Friday Night,2:53,Vigiland,Friday Night
盗将行,3:18,花粥,粥请客（二）
纸短情长,3:6,花粥,纸短情长
Starset,3:7,Cody Sorenson,Starset
This Is What You Came For,3:42,Calvin Harris,This Is What You Came For
High On Life ,3:51,Martin Garrix,High On Life
There for You,3:41,Martin Garrix,Tomorrowland 2017: Amicorum Spectaculum
南锣鼓巷,3:50,接个吻，开一枪,南锣鼓巷
ハルノユキ,5:5,リリィ、さよなら。,リリィ、さよなら。
Summer,2:33,久石譲,ENCORE
The Day You Went Away,3:42,M2M,The Day You Went Away: The Best of M2M
Limitless (feat. Sophie Rose),3:30,SAM F,Limitless (feat. Sophie Rose)
Glitter & Gold,2:56,Barns Courtney,The Dull Drums
GASSHOW,3:4,illion,UBU
フラッシュバック,5:8,リリィ、さよなら。,ハッピーエンドで会いましょう
Monody,4:50,TheFatRat,Monody
All We Know,3:14,The Chainsmokers,All We Know
Complicated,3:4,Dimitri Vegas & Like Mike,Complicated
いつも何度でも (千と千尋の神隠し),4:14,木村弓,宮崎駿アニメ ハープ作品集
いつも何度でも,3:18,宗次郎,Prime Selection
いつも何度でも,3:48,伊藤サチコ,ジブリを聴きながら、上を向いて歩こう
いつも何度でも,4:8,木村弓,千と千寻の神隠し~ジブリ・コレクション α波オルゴール
Intro,2:7,The xx,xx
未闻花名 (口琴版),5:48,V.A.,最新热歌慢摇95
Believer,3:23,Imagine Dragons,Best Of 2017
Don't You,3:14,Wonderful Humans,Don't You
Here's To Never Growing Up,3:34,Avril Lavigne,Here's To Never Growing Up
Maps,3:10,Maroon 5,Maps
Nevada,3:28,Vicetone,Nevada
After the Afterparty,3:39,Charli xcx,After the Afterparty
Parties,2:49,Jake Miller,2:00am in LA
Visions,3:18,Acreix,Visions
Bring Back The Summer (Not Your Dope Remix),3:40,Not Your Dope,Bring Back The Summer (Not Your **** Remix)
Neon Rainbow,4:12,Rameses B,Neon Rainbow
光るなら,4:14,Goose house,光るなら
Time Lapse,3:5,TheFatRat,Time Lapse
Boom Clap (From the Motion Picture Das Schicksal ist ein mieser Verräter),2:49,Charli xcx,The Fault In Our Stars: Music From The Motion Picture
Jackpot,3:15,TheFatRat,Jackpot
Lemon,4:16,米津玄師,Lemon
アゲイン,2:31,横山克,四月は君の嘘 ORIGINAL SONG & SOUNDTRACK
I Took A Pill In Ibiza,3:8,Mark Neo,I Took A Pill In Ibiza
Embrace,4:37,Sappheiros,Embrace
Shadows,3:52,Janji,Shadows
Horizon,3:17,Janji,Horizon
Flash Funk,3:41,英雄联盟,Warsongs
Saika,4:32,RABPIT,Deemo Official Soundtrack Vol.1
One Day,3:41,KISNOU,One Day
Frontier (Cargo Remix),3:4,Cargo,Frontier (Cargo Remix)
夏の喚く,4:56,邱有句,夏の喚く
Wicked Wonderland (Radio Edit),3:37,Tungevaag,Wicked Wonderland
Vagrant,4:28,Feint,Vagrant
Symphony,3:32,Zara Larsson,So Good
Running Away[NCS Release],3:8,Tobu,Tobu作品集
Telescope,2:55,Tim Legend,Telescope
Mine (Illenium Remix),4:9,ILLENIUM,Mine (Illenium Remix)
Dark Side,3:24,Phoebe Ryan,Dark Side
Crime,2:55,Grey,Crime
Windy Hill,5:8,羽肿,Windy Hill
It Ain't Me,3:0,Alex Goot,"Alex Goot & Friends, Vol. 5"
A Story of Fate,3:33,Jannik,A Story of Fate
Contact,2:21,Lulleaux,Contact
Halcyon Days,5:49,Zeraphym 六翼使徒,Halcyon Days
清丶风（DiESi Remix）,4:45,DiESi,清丶风（DiESi Remix）
Quicksand (BEAUZ Dreamix),3:10,BEAUZ,Quicksand (BEAUZ Dreamix)
Blue Sky,3:33,Feenixpawl,Blue Sky
Wolves,3:17,Selena Gomez,Wolves
1-800-273-8255,3:36,Tiffany Alvord,1-800-273-8255
Fortune Cookie,3:1,Emma Bale,Fortune Cookie
Angel With A Shotgun,3:7,Young Nightcore,Angel With A Shotgun
Hold Us Together,3:41,WILD,Hold Us Together
GHEN (cloudfield Remix),4:4,Erik,GHEN (cloudfield Remix)
Don't Speak,3:27,Eastblock Bitches,Don't Speak
One,3:16,Amy Diamond,One
Let Her Go,2:19,Biscuits,Let Her Go (Cover)
Way Back,3:28,Vicetone,Way Back
Good Together,3:25,SHY Martin,Good Together
liability (demo),2:53,Tove Styrke,liability (demo)
Remnants,5:25,NGC 3.14,「I am here」
Wild,3:35,Monogem,Wild
That Girl,2:56,Olly Murs,24 HRS (Deluxe)
落日归山海，陪伴成告白,2:27,Seto,for u .
Samurai,5:35,DEAF KEV,Samurai
despair,3:58,LookedatHerFore,April
Vexento-trippy love +najia bootleg（冷筱宇 remix）,3:32,乔文,Trippy Love（Remix）
Riverside 2099,3:54,Oliver Heldens,Riverside 2099
Take Me To Infinity 纯音乐（Cover Consoul Trainin）,2:44,音浪,内涵段子
Boomerang,3:15,Brooks,Boomerang
Spring （春）,3:30,LJY,Spring （春）
Endeavors (Original Mix),3:40,MitiS,Born
Fly Away,3:14,TheFatRat,Fly Away
Adventures,3:39,Alex Skrindo,Adventures
Cloud,3:21,Justin Apple,Cloud
Holo,3:48,Ampyx,Holo
Verve,3:25,Vexento,Verve
Falling,3:30,AndyM,Falling
Weekend,2:55,Dirk Reichardt,Kokowääh 2 (Original Motion Picture Soundtrack)
南锣鼓巷,3:50,接个吻，开一枪,南锣鼓巷
Masked Heroes,3:31,Vexento,Masked Heroes
Only Dream Of You（只有你的梦）,3:43,Mr Chip,∅
岚(Original Mix),3:48,Moderian,Somnambulist EP
Pipa （琵琶）,3:26,LJY,Pipa （琵琶）
Withered,3:40,Mr Chip,Withered
Purple Dragons (Dragons VIP),3:4,Virtual Riot,Purple Dragons (Dragons VIP)
Titan,3:38,STARLYTE,Ninety9lives 93: Finish Him
Friendships,4:2,Pascal Letoublon,Friendships
For Miles & Miles (Original Mix),4:15,MitiS,For Miles & Miles
Oasis,5:12,Spaarkey,Oasis
Energy Drink,5:3,Virtual Riot,Revenge of The Mustache
Autumn （秋）,3:19,LJY,Autumn （秋）
I'll Talk To You Soon,2:0,chiyoko,I'll Talk To You Soon
Neon Rainbow,4:12,Rameses B,Neon Rainbow
My Heart,4:26,EH!DE,My Heart
Jackpot,3:15,TheFatRat,Jackpot
Time Lapse,3:5,TheFatRat,Time Lapse
At The Edge,3:20,千坂,At The Edge
Fade国风古典(Dodie Remix),4:37,dodie,Fade国风古典(Dodie Remix)
The Boy Who Shattered Time,4:54,英雄联盟,Warsongs
アゲイン,2:31,横山克,四月は君の嘘 ORIGINAL SONG & SOUNDTRACK
Embrace,4:37,Sappheiros,Embrace
Welcome to Planet Urf,2:14,英雄联盟,Welcome to Planet Urf
He's a Pirate,1:30,Klaus Badelt,Pirates of the Caribbean: The Curse of the Black Pearl
Mystic Tides,4:1,FEWZ,Mystic Tides
Escape,3:2,Dripice,Escape
Running Away[NCS Release],3:8,Tobu,Tobu作品集
Shadows,3:52,Janji,Shadows
Floating,4:33,Tobu,Floating
Fade,4:24,Alan Walker,Origins
Forever Gone,3:39,Acreix,Forever Gone
云村的夏天,4:15,邱有句,云村的夏天
清丶风（DiESi Remix）,4:45,DiESi,清丶风（DiESi Remix）
Halcyon Days,5:49,Zeraphym 六翼使徒,Halcyon Days
Nova,3:13,Breathing Heavily,Nova
Crowded (Original Mix),3:12,TomLeevis,Crowded
Far Away,3:28,Kedam,Far Away
Luv Letter,4:28,DJ Okawari,Libyus Music Sound History 2004－2010
Luv Letter (Wisp X Remix),3:57,Wisp X,Luv Letter (Wisp X Remix)
Go Time,2:16,Mark Petrie,Go Time
Santa Monica,3:18,Dripice,Santa Monica
ferrari,4:0,Coyote Kisses,ferrari
Saika,4:32,RABPIT,Deemo Official Soundtrack Vol.1
Lifeline,5:13,Zeraphym 六翼使徒,生命线
Summer express,3:24,Prezira,最新热歌慢摇90
風の住む街（风居住的街道）,4:45,磯村由紀子,風の住む街 (风居住的街道)
Flash Funk,3:41,英雄联盟,Warsongs
Phoenix,4:21,MDK,Rise
Glistening,2:55,CelDro,Glistening
Rift (Original Mix),6:15,Syndec,Rift
The 7 Seas,2:22,F-777,Pirate Dance Machine
Phrases,3:17,Lindequist,Phrases
Distance (Original Mix),3:53,Zero Venture,Distance
Smile (Extended Mix),5:31,DRYM,Smile
Future Vibes,3:54,Alex Skrindo,Future Vibes
Press Start,3:30,MDK,最新热歌慢摇111
The Day Before Yesterday,4:8,Skyvoice,The Day Before Yesterday
Kaibu,3:19,Killercats,Kaibu
Champagne Ocean,3:0,Ehrling,Champagne Ocean
Return,3:45,Axel Wernberg,Return
Never Ending Rain,4:48,L3V3LS,Never Ending Rain
Starset,3:7,Cody Sorenson,Starset
Heaven,3:21,Ahxello,Ninety9lives 96 Lucky Block (2016)
Dreams (Original Mix),3:40,Cjbeards,Dreams
Eternal Summer,3:14,Damon Empero,Eternal Summer
One More Time,3:31,MindlessFate,One More Time
Soaring High,4:20,L3V3LS,Soaring High
Life,3:9,Bluelight,Life
Frisbee,3:11,Ahxello,Frisbee
Origin,3:24,Redza,Origin
Frontier (Cargo Remix),3:4,Cargo,Frontier (Cargo Remix)
Pages of Love,6:15,Ryan Farish,Life in Stereo
Blue Heeler,4:50,Yal!X,Blue Heeler
Freedom,3:10,Clarv,Freedom
Twinkles,3:38,Poker,Twinkles
Science is Cool,4:15,Mr FijiWiji,Science is Cool
Stuck in Dreams,4:7,Nightcall,Stuck in Dreams
Return (Aroze Violin Remix),3:47,Aroze,Return (Aroze Violin Remix)
Feel It,3:22,Axero,Feel It
Lift,3:12,Feint,最新热歌慢摇82
No Chance,4:9,Feint,One Last Time EP
Ghosts,4:4,Malik Bash,Ghosts
Summertime,4:45,K-391,Sunshine
The Things We've Seen,4:34,Feint,The Things We've Seen
Date (Kotori Remix),4:0,Kotori,Date (Kotori Remix)
Prelude,1:28,TheFatRat,Jackpot
Forever,3:38,Martin Garrix,Forever
Into the Deep,4:45,Joseph Ti,TOP25 Chill Emotion
Time to go home,4:8,Jacoo,Time to go home
The Garden of Escapism,3:56,Miro,The Garden of Escapism
Fire,3:9,Elektronomia,Fire
Delay,3:24,Itro,Delay
Search,4:52,Approaching Nirvana,Reboot
Realms,3:35,Hinkik,Realms
Pluto (Drop Tower Remix),3:15,Drop Tower,Pluto (Drop Tower Remix)
Sweet,2:52,DcAlvis,Sweet
夜闯秋名山（弹幕歌词版）,2:48,HOPE-T,没时间解释了，快上车！
デート2 (1n Cover),2:7,1n,Piano collection 1
Aware,4:32,Kontinuum,Aware
Immortalize(Original Mix),3:18,Xi,Immortalize
Monody (Radio Edit),4:12,TheFatRat,Monody (Radio Edit)
Favorite electric sound mix.,17:57,Cgc,Favorite electric sound mix Top 10
Astral Requiem,9:2,山下直人,最新热歌慢摇71
Fall Away,5:10,Feint,Fall Away EP
Ringtone (MetroGnome Remix),3:18,MetroGnome,Ringtone (MetroGnome Remix)
Pneumatic Tokyo,3:49,EnV,Pneumatic Tokyo
那年夏天，阳光正好,2:23,忘乡,那年夏天，阳光正好
Higher,3:33,Tobu,Higher
NCS Style Mix,4:29,HOPE-T,电音混剪16首自听
River,3:44,Axero,River
Anywhere I Go,3:19,Vicetone,Anywhere I Go
电音60首好听乐曲高潮合集 第一期,42:33,ae山子,电音60首好听乐曲高潮合集
An Old Song,4:13,MoreanP,An Old Song
Silver Scrapes,3:19,英雄联盟,最新热歌慢摇16
Xenogenesis,3:53,TheFatRat,Xenogenesis
BLACK HISTORY,1:50,FoXLvis,BLACK HISTORY NO.1
夏恋,4:26,Otokaze,夏恋
盛夏光年,4:4,R7CKY,盛夏光年
Fragments,3:18,千坂,Fragments
你的名字-你的名字-黄昏之时（Escaperz Bootleg ）（L1NO/HuaoH Remix）,3:41,HUAOH,你的名字-黄昏之时（Escaperz Bootleg）
RADWIMPS - 夢灯籠 (FN007 Remix),4:54,FN007,夢灯籠 (FN007 Remix)
Shang - 商,3:16,小悦悦,商
清、风 (VIP Mix),3:48,Soda Mint,清、风 (VIP Mix) [电校出品]
Jay Hardway / MOTI / Babet - 半藏（Forwe兰斯 remix）,2:18,Forwe兰斯,双龙(Dragons)
源氏(GenJi),3:35,Forwe兰斯,双龙(Dragons)
Azure Galaxy（苍蓝星系-伴奏）,3:22,DJ Soviet,Azure Galaxy [ HB.to巨蟹座们 ]
Sky Mirrors,4:50,Jannik,云际
Lost In Dreamland,3:45,MoreanP,Lost In Dreamland
No Longer(Original Mix),4:3,Ellivs,No Longer
雪の笑顔,3:20,smile丶轩,初冬
A Story of Fate,3:33,Jannik,A Story of Fate
Forever 21 （Original Mix）,2:47,逆时针向,Forever 21（21岁生日纪念）
寄夏予你（off vocal),4:52,MoreanP,寄夏予你
飞舞吧，樱花！,2:57,余日秋山,飞舞吧，樱花！
Grace,4:59,Jannik,Grace
Under The Welkin,4:53,MoreanP,Under The Welkin
Feeling The Rain,4:2,MoreanP,Feeling The Rain
Away From,3:36,千坂,Away From
Light Hope,3:57,浮云心丶,Light Hope
Instant,4:11,浮云心丶,Instant
Intro,2:7,The xx,xx
Visions,3:18,Acreix,Visions
秦淮,4:4,冯石叶,S.K.M.T
Hoaprox-Ms-TearGas Hoaprox-Ngau Hung/Remix（Ms-TearGas / Hoaprox remix）,2:41,Ms-TearGas,骚猪 PDD洪荒之力 Remix
A Little Story,3:24,Valentin,A Little Story
Sakura Tears,3:3,Snigellin,最新热歌慢摇110
Beijing,2:44,接个吻，开一枪,Beijing
Tobu - Life(RYLIA  Remix),3:17,RYLIA,Life（Remix/Remake）
The Colour Of My Dreams,5:1,Xwdit,The Colour Of My Dreams
Axero-River（Keega Remix）,3:36,Keega,River (Keega Bootleg)
The truth that you leave,3:43,Pianoboy高至豪,The truth that you leave
Sky High,3:56,Elektronomia,Sky High
烟袋斜街,3:33,接个吻，开一枪,烟袋斜街
水(Original Mix),2:50,LeeAlive,水(Original Mix)
华山铭,3:33,路南,华山铭
Candy World,1:36,TANG唐,CANDY WORLD（Instrumental 预告）
Shine,3:9,Dio Deer,shine
China-X,3:46,徐梦圆,Change
Trip,3:8,Axero,Trip
Windfall,3:48,TheFatRat,Windfall
Sky (Radio Edit),3:56,Steerner,Sky
Summer Vibes,4:59,Elektronomia,Summer Vibes
光,3:22,OYRH,光
#Lov3 #Ngẫu Hứng,2:41,Hoaprox,#Lov3 #Ngẫu Hứng
Utopia,3:45,Elliot Hsu,Utopia
Horizon,3:17,Janji,Horizon
Evolving,3:24,Ahrix,Evolving
Spectre,3:50,Alan Walker,Origins
You Are Not Alone (Stripped Mix),4:9,X Factor Finalists 2009,You Are Not Alone
Running Away,3:8,Tobu,Running Away
Seven,3:50,Tobu,Seven
Sunburst,3:9,Tobu,Sunburst
Unity,4:9,TheFatRat,Unity
幼女幻奏,1:46,"Sing, R. Sing!",らんしゃましゃんしゃん♪
nop,1:43,陈越龙,2020
That's All,4:10,Barney Kessel,"Easy Like, Vol. 1"
Azure Skies,3:6,trxxshed,Azure Skies
春夜、雨を喜ぶ - メインテーマ (Piano & Strings),3:55,小瀬村晶,TBS系 火曜ドラマ 中学聖日記 オリジナル・サウンドトラック
偏浪漫时代,2:3,心语馆,偏浪漫时代
三葉のテーマ,4:3,RADWIMPS,君の名は。
Ahead of Us,4:51,小瀬村晶,Proof of Us (Soundtrack to the FLAT STUDIO Short Film)
雲のかたち,3:35,PASCALS,TBS系 金曜ドラマ「凪のお暇」オリジナル・サウンドトラック
η,2:51,α·Pav,Pavonis ~ Piano Collection II ~
attack音D,4:44,澤野弘之,TVアニメ「進撃の巨人」Season 2 オリジナルサウンドトラック
Counter-Clockwise Clock（piano ver.）,3:0,ACENG 丶,Merry Christmas
香菇肥猪,2:54,魔鬼花园（李安健）,随便写写
02 有些答案不必等（纯音乐版）,4:56,三册柏,有些答案不必等
世间所有的蓝 都是你的背影,3:0,Seto,世间所有的蓝 都是你的背影
Secret Base but is it okay if it's lofi?,3:22,Kijugo,Secret Base but is it okay if it's lofi?
Dehors(纯音乐),2:47,从和文,Dehors
"Ich bin Himmel, wenn ich den Himmel liebe (feat. Seraphina Theresa)",2:42,Sergio Díaz De Rojas,The Morning Is a River
Echo（必有回响）,2:5,Shmily,Echo （回响）
"Travelers (From ""Outer Wilds"")",4:25,Kain White,"Travelers (From ""Outer Wilds"")"
so far away,2:9,elijah who,new feelings
instupendo-Comfort Chain (CurtisAsia Edit),3:9,CurtisAsia,instupendo-Comfort Chain (Unoffical Re-Master)
风驶过的声音是,3:5,Zy,风驶过的声音是
我撕裂我的身体,2:33,MISTERK,我撕裂我的身体
Shootout,4:55,Izzamuzzic,Shootout
蜘蛛丝Monopoly（REMAKE）,2:3,Lean,蜘蛛丝Monopoly（REMAKE）
young luv,1:18,Rook1e,young luv
I Really Want to Stay At Your House (Epic Version),4:6,Samuel Kim,I Really Want to Stay At Your House (Epic Version)
Fukashigi no Carte but is it okay if it's lofi?,2:45,Kijugo,Fukashigi no Carte but is it okay if it's lofi?
Hikaru Nara but is it okay if it's lofi?,1:42,Kijugo,Hikaru Nara but is it okay if it's lofi?
Gurenge but is it okay if it's lofi?,3:18,Kijugo,Gurenge but is it okay if it's lofi?
Fruitless Rain,2:49,usonofbiscuit,3
Farewell,2:23,ALisa,Farewell
Under the Heavens,3:41,Tony Anderson,Under the Heavens
Saudade (When We Are Born),2:30,Ólafur Arnalds,Saudade (When We Are Born)
